,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,genre,kind
9,mois,month
10,frère,brother
11,laisser,let
12,car,because
13,mettre,to put
14,aucun,no
15,laisse,leash
16,eux,them
17,ville,city
18,chaque,each
19,arrivé,come
20,devrait,should
21,bébé,baby
22,longtemps,long time
23,heures,hours
24,vont,will
25,pendant,while
26,revoir,meet again
27,aucune,any
28,place,square
29,parle,speak
30,compris,understood
31,savais,knew
32,étaient,were
33,voici,here is
34,pourrais,could
35,donner,give
36,type,type
37,leurs,their
38,donné,given
39,train,train
40,corps,body
41,yeux,eyes
42,façon,way
43,écoute,listen
44,dont,whose
45,trouve,find
46,premier,first
47,perdu,lost
48,main,hand
49,première,first
50,côté,side
51,pouvoir,power
52,vieux,old
53,sois,be
54,tiens,here
55,matin,morning
56,tellement,so much
57,enfant,child
58,point,point
59,venu,came
60,suite,after
61,pardon,sorry
62,venez,come
63,devant,in front of
64,vers,towards
65,minutes,minutes
66,demandé,request
67,chambre,bedroom
68,mis,placed
69,belle,beautiful
70,aimerais,would like to
71,aujourd'hui,today
72,cause,cause
73,enfin,finally
74,espère,hope
75,eau,water
76,attendez,Wait
77,parti,left
78,nouvelle,new
79,boulot,job
80,arrêter,Stop
81,dirait,would say
82,terre,Earth
83,compte,account
84,donne,given
85,loin,far
86,fin,end
87,croire,believe
88,chérie,sweetheart
89,plutôt,rather
90,aura,will have
91,filles,girls
92,jouer,to play
93,bureau,office
